name,count
张庭,44
孙阳,44
李宏毅,44
周海媚,43
赛琳娜,43
莫文蔚,43
付辛博,43
乔任梁,43
霍思燕,43
陈瑶,43
汪涵,43
李纯,43
邓家佳,43
张含韵,43
阿云嘎,43
冯小刚,42
倪虹洁,42
尹净汉,42
林志炫,42
李湘,42
陈紫函,42
范世錡,42
孙珍妮,42
亚当,42
袁冰妍,42
郑佩佩,42
赵本山,42
许玮甯,42
傅菁,42
姜涛,42
刘奕君,42
黄宣,42
阿娇,41
蔡明,41
金泰妍,41
宋江,41
秋瓷炫,41
代旭,41
佟大为,41
辛云来,41
游本昌,40
张凯丽,40
崔然竣,40
李善均,40
希林娜,40
李菲儿,40
黄觉,40
邓佳鑫,40
王鹤润,40
陈德容,40
杨旭文,40
徐峥,40
胡杏儿,40
欧阳娣娣,39
张亮,39
金钟仁,39
何美延,39
郭采洁,39
大冰,39
杨博文,39
陈少熙,39
黄霄雲,39
罗大美,39
郭京飞,39
韩美娟,39
陈冠希,38
朱亚文,38
代露娃,38
管乐,38
安宰贤,38
王天辰,38
朱孝天,38
王琳,37
李栋旭,37
阿Sa,37
曾可妮,37
朴宰范,37
古巨基,37
何晟铭,37
卓沅,37
李沐宸,37
杜江,37
霍尊,37
荣梓杉,37
戴向宇,37
刘若英,37
张檬,36
安宥真,36
崔胜澈,36
黄俊捷,36
万妮达,36
刘些宁,36
张慧雯,36
曾毅,36
何赛飞,36
段奥娟,36
罗志祥,36
窦靖童,36
梅婷,36
李克勤,35
全智贤,35
王赫野,35
杨仕泽,35
周润发,35
徐良,35
孙艺洲,35
张桂源,35
蒋一侨,35
邱泽,35
王丽坤,35
凡希亚,35
王子异,35
焉栩嘉,35
尹浩宇,35
李光洁,35
龙丹妮,34
崔秀彬,34
杨玏,34
任豪,34
肖顺尧,34
张嘉元,34
钟丽缇,34
屈楚萧,34
李连杰,34
卢靖姗,34
玄彬,34
邓恩熙,33
唐国强,33
刘彰,33
关智斌,33
赖美云,33
李泽锋,33
肖央,33
何泓姗,33
李佳薇,33
王菊,33
孙坚,33
陈靖可,33
杨丽萍,32
许绍雄,32
陈浚铭,32
安崎,32
尔冬升,32
吴千语,32
昆凌,32
张晋,32
任贤齐,31
陈志朋,31
徐怀钰,31
王蓉,31
田馥甄,31
曾志伟,31
翟潇,31
王骁,31
张雅钦,31
蒋梦婕,31
裴珠泫,30
金泰亨,30
李羲承,30
胡静,30
林青霞,30
张睿,30
王晓晨,30
王一珩,30
赵英俊,30
孙茜,30
张信哲,30
陈铭,30
李胜利,29
王祖贤,29
李若彤,29
孟鹤堂,29
张纪中,29
向涵之,29
那尔那茜,29
赵晓卉,29
仝卓,29
孙莉,29
张雪迎,29
符龙飞,29
吴宇恒,29
马伊琍,29
梅艳芳,28
车保罗,28
方时赫,28
黄灿灿,28
陈鑫海,28
孙兴,28
董卿,28
甘望星,28
郑云龙,28
房琪,28
陈好,28
张钰琪,28
李溪芮,28
李云霄,28
瞿颖,27
张曼玉,27
吴彦姝,27
黄杨钿甜,27
金宣虎,27
金玟庭,27
黄小蕾,27
董洁,27
严屹宽,27
洪尧,27
翟子路,27
刘令姿,27
吴建豪,27
张凯毅,27
姜潮,27
胡冰卿,27
程耳,27
蔡卓宜,27
张卫健,26
范伟,26
袁一琦,26
泫雅,26
小S,26
李诚儒,26
赵今,26
赵薇,26
于晓光,26
柯宇,26
方文山,26
任素汐,26
梁静茹,26
林宥嘉,26
钟辰乐,26
李敏镐,26
吴孟达,26
冯建宇,26
苏晓彤,26
魏如萱,26
柯佳嬿,26
林娜琏,26
周芯竹,26
甄子丹,26
吴卓羲,26
袁泉,26
娄艺潇,26
张百乔,26
左奇函,26
张颖颖,26
李茂,26
戴燕妮,26
温峥嵘,26
马子佳,26
李云迪,25
朴宝剑,25
王紫璇,25
李晋晔,25
姜广涛,25
鹭卓,25
黄锐,25
马伊,25
张丹峰,25
詹雯婷,25
李马克,25
李泰容,24
龚琳娜,24
罗渽民,24
朴成训,24
包文婧,24
于洋,24
何润东,24
何晴,24
黄雅莉,24
何穗,24
韩雪,24
沈星,24
冯巩,24
葛优,24
牛骏峰,24
高伟光,24
阎鹤祥,24
张昊唯,24
叶祖新,24
蔡康永,24
姜云升,24
裴秀智,24
金希澈,24
洪知秀,24
蒋龙,23
朴振英,23
应采儿,23
Minnie,23
何瑞贤,23
黄绮珊,23
罗予彤,23
艾米,23
朱梓骁,23
李威,23
王劲松,23
周杰,23
孙芮,23
胡海泉,23
辛云,23
马思唯,23
比伯,23
王青,23
梁家辉,22
